full_text_comments,full_text_comments_preprocessed
@ARSIPAJA Tim redaksinya diancam kah? Artikel kaya gini lolos.,tim redaksi ancam artikel kaya gin lolos
@ARSIPAJA maaf juga ye penulis gue kaga percaya ,maaf tulis kaga percaya
@ARSIPAJA Loh kirain kompasiana.,kirain kompasiana
@ARSIPAJA Kompas jadi Kompos setidaknya kompos bermanfaat lah ini ,kompas kompos kompos manfaat
@ARSIPAJA Gw masih mikir dr td.. poinnya kalimat itu apa?,mikir poin kalimat
@ARSIPAJA Astagaaa berita macam apa itu @kompascom ?,astagaaa berita
@ARSIPAJA Beneran ini kompas bikin narasi berita kayak gini?,beneran kompas bikin narasi berita kayak gin
@ARSIPAJA Alasan kenapa ga langganan kompas,alas langgan kompas
@ARSIPAJA mohon pake bold,mohon pake bold
@ARSIPAJA ini apaan jancok bisa nulis ga sih,jancok nulis sih
@ARSIPAJA Ya Allah takbirrrr Beneran ada jurnalis kek gini?? Terang2an mihak?? Perasaan gua dl diajarin ga begini deh,allah takbirrrr beneran jurnalis kek gin terang mihak asa diajarin
@ARSIPAJA Sekelas kompas bahasanya kek buzerp,kelas kompas bahasa kek buzerp
@ARSIPAJA Redaksi @kompascom rasa buzzer..,redaksi buzzer
@ARSIPAJA Ini advertorial atau rubrik opini kah?,advertorial rubrik opini
CES is almost here Jan 6 9 2026! @Synopsys just announced a special CEO Fireside Chat at CES 2026 with CEO Sassine Ghazi joining Six Five Podcast hosts @PatrickMoorhead &amp; @danielnewmanUV to unpack the future of automotive engineering from AI and software-defined,ces almost here jan just announced special ceo fireside chat ces with ceo sassine ghazi joining six five podcast hosts amp unpack the future automotive engineering from and software defined
@ARSIPAJA AHHAHAHAHA,ahhahahaha
@ARSIPAJA Ini berita kompas? Bukan kompasiana kan??,berita kompas kompasiana
@ARSIPAJA Downgrade jadi koran lampu merah,downgrade koran lampu merah
@ARSIPAJA ini opini bukan berita,opini berita
@ARSIPAJA Kompos sejak jaman mulyono sudah jadi keset rezim cuma biar bisa tetap makan enak,kompos jaman mulyono keset rezim biar makan enak
@ARSIPAJA Anjirr narasinyaa setelah dibungkam ,anjirr narasinyaa bungkam
@ARSIPAJA jilatan sempurna... https://t.co/Y0tXiIA8Tr,jilat sempurna
@ARSIPAJA Apakah jika ada yang mengkritisi berarti membenci...? Cetek sekali....,kritisi benci cetek
@ARSIPAJA anjirrrr @kompascom asli na boskuu,anjirrrr asli boskuu
@ARSIPAJA Subjektivitasnya makin terang-terangan.,subjektivitasnya terang terang
@ARSIPAJA Kompas mulai keras? Gak yakin.,kompas keras
@ARSIPAJA Ashiappp permohonan maaf nya ga di terima,ashiappp mohon maaf terima
@ARSIPAJA ITU SUDAH KEWAJIBAN PRESIDEN. BARE MINIMUM BANGET. STOP GLORIFYING THISS!!,wajib presiden bare minimum banget stop glorifying thiss
@ARSIPAJA Tolol banget kompas masa tulisannya subjektif begitu,tolol banget kompas tulis subjektif
@ARSIPAJA @kompascom core,core
@ARSIPAJA sekelas kompas nih? emang rendah bgt harga diri jurnalis nasional kita klo gak clickbait ya bayaran. gak ada integritas yang dijaga,kelas kompas emang rendah bgt harga jurnalis nasional klo clickbait bayar integritas jaga
@ARSIPAJA beneran ada https://t.co/AWJuslOS0M,beneran
@ARSIPAJA HAH????,hah
@ARSIPAJA @JayaSupranaShow ...,
@ARSIPAJA ,
